found,company,score,signals,why,evidence_url,more_evidence,website,sources
2026-09-21,LangChain,70,competitor_sdk;ai_agent;recent_hiring,"+40 langchain-ai/openevals imports the E2B SDK | +20 on the AI-agent seed list | +10 posted ""Director of Commercial Sales "" on 2026-09-19",https://github.com/langchain-ai/openevals/blob/16b546bea58e3a62dabb79d2459cd90cc8ab0259/python/openevals/code/e2b/pyright.py,https://jobs.ashbyhq.com/langchain/74e5f9f4-e44a-4594-ba26-abdf71bf287d https://jobs.ashbyhq.com/langchain/d81ac364-7b1c-48d2-a8b7-4bc7336c6be5,https://www.langchain.com,ashby board;github
2026-09-21,Anthropic,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Staff+ Software Engineer, Claude App Infrastructure"" mentions Firecracker, gVisor, sandbox | +20 on the AI-agent seed list | +10 posted ""Security Technology Deployment Specialist"" on 2026-09-19",https://job-boards.greenhouse.io/anthropic/jobs/5065894008,https://job-boards.greenhouse.io/anthropic/jobs/5421031008 https://job-boards.greenhouse.io/anthropic/jobs/5422950008,,greenhouse board
2026-09-21,Baseten,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Engineering Manager, Runtime Fabric"" mentions Cloud Hypervisor, Firecracker, gVisor, microVM | +20 on the AI-agent seed list | +10 posted ""Product Marketing Manager, Dedicated"" on 2026-09-18",https://jobs.ashbyhq.com/baseten/aae72bd3-6f75-4238-9741-95fec11facb9,https://jobs.ashbyhq.com/baseten/fc6e5f2e-eb2d-4a6c-8a51-8422e8662bde https://jobs.ashbyhq.com/baseten/1c5adf20-fe51-4fb6-9e45-569523e3e8bf,,ashby board
2026-09-21,Browserbase,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Software Engineer (Core Infrastructure)"" mentions Firecracker | +20 on the AI-agent seed list | +10 posted ""Business Recruiter"" on 2026-09-18",https://jobs.ashbyhq.com/browserbase/bcbf0fb9-2405-497b-bbc9-e09d8f7a4963,https://jobs.ashbyhq.com/browserbase/0054846b-1592-4596-8e6f-8d9a162bf62d,,ashby board
2026-09-21,Celesto AI,60,competitor_sdk;ai_agent,+40 CelestoAI/agentor imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/CelestoAI/agentor/blob/56f4ab6901d6230d18e6f36b3bcf7e0065ab352f/src/agentor/runtime.py,https://github.com/CelestoAI,https://celesto.ai,github
2026-09-21,Cognition,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Software Engineer"" mentions agent infrastructure, code execution, sandbox | +20 on the AI-agent seed list | +10 posted ""Commercial Partner Manager"" on 2026-09-17",https://jobs.ashbyhq.com/cognition/e8086415-62bc-4cc0-96a4-84bb56182d35,https://jobs.ashbyhq.com/cognition/4841bda0-057a-4471-801f-70309c3c02d5 https://jobs.ashbyhq.com/cognition/b6928067-6e03-4934-befe-2940cf584a8d,,ashby board
2026-09-21,Cohere,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Engineering Manager"" mentions agent infrastructure | +20 on the AI-agent seed list | +10 posted ""Revenue Enablement Program Manager"" on 2026-09-20",https://jobs.ashbyhq.com/cohere/335a6fe6-c857-4c5e-866a-4163496e1254,https://jobs.ashbyhq.com/cohere/7133d205-5421-4336-a8e2-6037b5f55073 https://jobs.ashbyhq.com/cohere/f6100cdd-94fc-4f4b-bac5-7efa5069cdd5,,ashby board
2026-09-21,Data Intelligence Lab@HKU,60,competitor_sdk;ai_agent,+40 HKUDS/AnyTool imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/HKUDS/AnyTool/blob/506430fec13300853b2010e2604ae0c71b940502/anytool/grounding/core/security/e2b_sandbox.py,https://github.com/HKUDS,https://sites.google.com/view/chaoh,github
2026-09-21,Decagon,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Senior Software Engineer, AI Platform"" mentions sandbox | +20 on the AI-agent seed list | +10 posted ""Business Operations, Growth"" on 2026-09-18",https://jobs.ashbyhq.com/decagon/491d67c4-b877-4ddc-895a-496eed6777ed,https://jobs.ashbyhq.com/decagon/67c794bd-e423-44b2-8b80-d7b759994cde https://jobs.ashbyhq.com/decagon/aed35522-81dd-466f-aa98-6dbe8fda413a,,ashby board
2026-09-21,Deliveroo,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Staff Software Engineer, Dev Environments"" mentions Firecracker, sandbox | +20 job ""Staff Software Engineer, Dev Environments"" describes an AI-agent product | +10 posted ""Senior Integrated Marketing Strategy & Planning Manager"" on 2026-09-20",https://www.arbeitnow.co.uk/jobs/companies/deliveroo/staff-software-engineer-dev-environments-london-267926,https://www.arbeitnow.fr/jobs/companies/deliveroo/senior-integrated-marketing-strategy-planning-manager-paris-383975,,arbeitnow
2026-09-21,Dynamiq,60,competitor_sdk;ai_agent,+40 dynamiq-ai/dynamiq imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/dynamiq-ai/dynamiq/blob/c1fc7ab7db75fa921dd47bbbfa07363f86656f58/dynamiq/nodes/tools/e2b_sandbox.py,https://github.com/dynamiq-ai,https://getdynamiq.ai,github
2026-09-21,Harvey,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Staff Software Engineer, AI Platform"" mentions agent infrastructure | +20 on the AI-agent seed list | +10 posted ""Account Executive, Mid Market, EMEA"" on 2026-09-18",https://jobs.ashbyhq.com/harvey/01da8934-d3e3-4ebb-beb9-681b3c24fb9c,https://jobs.ashbyhq.com/harvey/e04146f6-f79a-4023-9523-fe691038b330 https://jobs.ashbyhq.com/harvey/fb8e9cea-b698-4261-9ffd-5ce7a39d4a85,,ashby board
2026-09-21,Intelligent-Internet,60,competitor_sdk;ai_agent,+40 Intelligent-Internet/ii-agent imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/Intelligent-Internet/ii-agent/blob/28563d6b738ac24df2c52048bd950afd7db4f4b7/src/ii_agent/agents/tools/e2b.py,https://github.com/Intelligent-Internet,https://ii.inc/,github
2026-09-21,Lovable,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Software Engineer, Platform (Infrastructure)"" mentions gVisor, sandbox | +20 on the AI-agent seed list | +10 posted ""Software Engineer, Product (Integration Platform)"" on 2026-09-18",https://jobs.ashbyhq.com/lovable/920b4099-00bc-4d5e-9469-2c955ef3a662,https://jobs.ashbyhq.com/lovable/cfef6fe1-e0c9-4139-8618-b51bfb1dc683 https://jobs.ashbyhq.com/lovable/77326507-b4dd-4239-89b6-85b077baeeb5,,ashby board
2026-09-21,Mintlify,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Backend Engineer"" mentions agent infrastructure | +20 on the AI-agent seed list | +10 posted ""Senior Platform Engineer"" on 2026-09-20",https://jobs.ashbyhq.com/mintlify/4da2f7a2-3d5a-4652-bf01-aed59f4cb72b,https://jobs.ashbyhq.com/mintlify/db16fe6d-e564-4fb3-a3ff-22564a8de699 https://jobs.ashbyhq.com/mintlify/2e61e198-fb04-4de8-b786-3038dc0a5934,,ashby board
